name,year_start,year_end,position,height,weight,birth_date,college,id,Player,collage,born,birth_city,birth_state
Earl Barron,2006,2015,C,213,113,August 14, 1981,University of Memphis,3045,Earl Barron,University of Memphis,1981,Clarksdale,Mississippi
Dana Barros,1990,2004,G,180,73,April 13, 1967,Boston College,1970,Dana Barros,Boston College,1967,Boston,Massachusetts
Brent Barry,1996,2009,G,198,83,December 31, 1971,Oregon State University,2380,Brent Barry,Oregon State University,1971,Hempstead,New York
Drew Barry,1998,2000,G,196,86,February 17, 1973,Georgia Institute of Technology,2521,Drew Barry,Georgia Institute of Technology,1973,Oakland,California
Jon Barry,1993,2006,G,193,88,July 25, 1969,Georgia Institute of Technology,2182,Jon Barry,Georgia Institute of Technology,1969,Oakland,California
Rick Barry,1966,1980,F,6-7,205,March 28, 1944,University of Miami
Ed Bartels,1950,1951,F,196,88,October 8, 1925,North Carolina State University,3,Ed Bartels,North Carolina State University,1925,,
Vic Bartolome,1972,1972,C,213,104,September 29, 1948,Oregon State University,886,Vic Bartolome,Oregon State University,1948,,
Will Barton,2013,2018,G,198,79,January 6, 1991,University of Memphis,3534,Will Barton,University of Memphis,1991,Baltimore,Maryland
Eddie Basden,2006,2006,G,196,97,February 15, 1983,University of North Carolina at Charlotte,3046,Eddie Basden,University of North Carolina at Charlotte,1983,New York,New York
Jerry Baskerville,1976,1976,F,201,86,November 10, 1951,Temple University,1073,Jerry Baskerville,Temple University,1951,Philadelphia,Pennsylvania
Brandon Bass,2006,2017,F,203,113,April 30, 1985,Louisiana State University,3047,Brandon Bass,Louisiana State University,1985,Baton Rouge,Louisiana
Tim Bassett,1974,1980,F-C,203,102,April 1, 1951,University of Georgia,1127,Tim Bassett,University of Georgia,1951,Washington,District of Columbia
Maceo Baston,2003,2009,F,206,97,May 29, 1975,University of Michigan,2846,Maceo Baston,University of Michigan,1975,Corsicana,Texas
Mengke Bateer,2002,2004,C,211,131,November 20, 1975,,2781,Mengke Bateer,,1975,Beijing,China
Billy Ray Bates,1980,1983,G,6-4,210,May 31, 1956,Kentucky State University
Esteban Batista,2006,2007,F-C,208,122,September 2, 1983,,3048,Esteban Batista,,1983,Montevideo,Uruguay
Mike Batiste,2003,2003,F,203,102,November 21, 1977,Arizona State University,2847,Mike Batiste,Arizona State University,1977,Long Beach,California
Tony Battie,1998,2012,C-F,211,104,February 11, 1976,Texas Tech University,2522,Tony Battie,Texas Tech University,1976,Dallas,Texas
Shane Battier,2002,2014,F,203,99,September 9, 1978,Duke University,2782,Shane Battier,Duke University,1978,Birmingham,Michigan
John Battle,1986,1995,G,188,79,November 9, 1962,Rutgers University,1708,John Battle,Rutgers University,1962,Washington,District of Columbia
Kenny Battle,1990,1993,F,198,95,October 10, 1964,University of Illinois at Urbana-Champaign,1971,Kenny Battle,University of Illinois at Urbana-Champaign,1964,Aurora,Illinois
Dave Batton,1983,1984,C,208,108,March 26, 1956,University of Notre Dame,1535,Dave Batton,University of Notre Dame,1956,Baltimore,Maryland
Lloyd Batts,1975,1975,G-F,6-4,185,May 9, 1951,University of Cincinnati
Nicolas Batum,2009,2018,F-G,203,90,December 14, 1988,,3272,Nicolas Batum,,1988,Lisieux,France
Johnny Baum,1970,1974,F,196,90,June 17, 1946,Temple University,793,Johnny Baum,Temple University,1946,Philadelphia,Pennsylvania
Frankie Baumholtz,1947,1947,G,5-10,170,October 7, 1918,Ohio University
Lonny Baxter,2003,2006,F,203,117,January 27, 1979,University of Maryland,2848,Lonny Baxter,University of Maryland,1979,Silver Spring,Maryland
Jerryd Bayless,2009,2018,G,190,90,August 20, 1988,University of Arizona,3273,Jerryd Bayless,University of Arizona,1988,Phoenix,Arizona
Elgin Baylor,1959,1972,F,6-5,225,September 16, 1934,Seattle University
Howard Bayne,1968,1968,F,6-6,235,July 28, 1942,University of Tennessee
Aron Baynes,2013,2018,C,208,117,December 9, 1986,Washington State University,3535,Aron Baynes,Washington State University,1986,Gisborne,New Zealand
Sergei Bazarevich,1995,1995,G,188,76,March 16, 1965,,2319,Sergei Bazarevich,,1965,Moscow,Russia
Kent Bazemore,2013,2018,G-F,196,91,July 1, 1989,Old Dominion University,3536,Kent Bazemore,Old Dominion University,1989,Kelford,North Carolina
Ed Beach,1951,1951,F,190,90,January 25, 1929,West Virginia University,225,Ed Beach,West Virginia University,1929,,
Bradley Beal,2013,2018,G,196,93,June 28, 1993,University of Florida,3537,Bradley Beal,University of Florida,1993,St. Louis,Missouri
Al Beard,1968,1968,C,6-9,200,April 27, 1942,Norfolk State University
Butch Beard,1970,1979,G,190,83,May 4, 1947,University of Louisville,794,Butch Beard,University of Louisville,1947,Hardinsburg,Kentucky
Ralph Beard,1950,1951,G,178,79,December 2, 1927,University of Kentucky,4,Ralph Beard,University of Kentucky,1927,Hardinsburg,Kentucky
Charles Beasley,1968,1971,G-F,6-5,190,September 23, 1945,Southern Methodist University
Jerome Beasley,2004,2004,F,208,107,May 17, 1980,University of North Dakota,2911,Jerome Beasley,University of North Dakota,1980,Compton,California
John Beasley,1968,1974,F-C,6-9,225,February 5, 1944,Texas A&M University
Malik Beasley,2017,2018,G,196,88,November 26, 1996,Florida State University,3836,Malik Beasley,Florida State University,1996,Atlanta,Georgia
Michael Beasley,2009,2018,F,206,106,January 9, 1989,Kansas State University,3274,Michael Beasley,Kansas State University,1989,Frederick,Maryland
Zelmo Beaty,1963,1975,C,6-9,225,October 25, 1939,Prairie View A&M University
Rodrigue Beaubois,2010,2013,G,183,77,February 24, 1988,,3332,Rodrigue Beaubois,,1988,Pointe-a-Pitre,Guadeloupe
Byron Beck,1968,1977,C-F,206,102,January 25, 1945,University of Denver,1128,Byron Beck,University of Denver,1945,Ellensburg,Washington
Corey Beck,1996,1999,G,185,86,May 27, 1971,University of Arkansas,2381,Corey Beck,University of Arkansas,1971,Memphis,Tennessee
Ernie Beck,1954,1961,G-F,193,86,December 11, 1931,University of Pennsylvania,322,Ernie Beck,University of Pennsylvania,1931,Philadelphia,Pennsylvania
Arthur Becker,1968,1973,F,6-7,205,January 12, 1942,Arizona State University
Moe Becker,1947,1947,G-F,6-1,185,February 24, 1917,Duquesne University
Bob Bedell,1968,1971,F,6-7,205,June 26, 1944,Stanford University
William Bedford,1987,1993,C,213,102,December 14, 1963,University of Memphis,1771,William Bedford,University of Memphis,1963,Memphis,Tennessee
Hank Beenders,1947,1949,C-F,6-6,185,June 2, 1916,Long Island University
Ron Behagen,1974,1980,F-C,206,83,January 14, 1951,University of Minnesota,978,Ron Behagen,University of Minnesota,1951,New York,New York
Elmer Behnke,1952,1952,C,201,95,February 3, 1929,Bradley University,256,Elmer Behnke,Bradley University,1929,Rockford,Illinois
Marco Belinelli,2008,2018,G-F,196,95,March 25, 1986,,3209,Marco Belinelli,,1986,Bologna,Italy
Charlie Bell,2002,2011,G,190,90,March 12, 1979,Michigan State University,2783,Charlie Bell,Michigan State University,1979,Flint,Michigan
Dennis Bell,1974,1976,F,196,83,June 2, 1951,Drake University,979,Dennis Bell,Drake University,1951,Cincinnati,Ohio
Jordan Bell,2018,2018,F,6-9,224,January 7, 1995,University of Oregon
Raja Bell,2001,2012,G,196,92,September 19, 1976,Florida International University,2711,Raja Bell,Florida International University,1976,St. Croix,U.S. Virgin Islands
Troy Bell,2004,2004,G,185,81,November 10, 1980,Boston College,2912,Troy Bell,Boston College,1980,Minneapolis,Minnesota
Whitey Bell,1960,1961,G,183,81,September 13, 1932,North Carolina State University,493,Whitey Bell,North Carolina State University,1932,Monticello,Kentucky
Walt Bellamy,1962,1975,C,6-11,225,July 24, 1939,Indiana University
DeAndre' Bembry,2017,2018,F,198,95,July 4, 1994,Saint Joseph's University,3837,DeAndre' Bembry,Saint Joseph's University,1994,Charlotte,North Carolina
Irv Bemoras,1954,1957,F-G,190,83,November 18, 1930,University of Illinois at Urbana-Champaign,323,Irv Bemoras,University of Illinois at Urbana-Champaign,1930,,
Leon Benbow,1975,1976,G,193,83,July 23, 1950,Jacksonville University,1022,Leon Benbow,Jacksonville University,1950,Columbia,South Carolina
Dragan Bender,2017,2018,F,216,102,November 17, 1997,,3838,Dragan Bender,,1997,Capljina,Bosnia and Herzegovina
Jonathan Bender,2000,2010,F,211,91,January 30, 1981,,2651,Jonathan Bender,,1981,Picayune,Mississippi
Jerrelle Benimon,2015,2015,F,203,111,August 1, 1991,Towson University,3685,Jerrelle Benimon,Towson University,1991,Warrenton,Virginia
Benoit Benjamin,1986,2000,C,213,113,November 22, 1964,Creighton University,1709,Benoit Benjamin,Creighton University,1964,Monroe,Louisiana
Corey Benjamin,1999,2003,G,198,90,February 24, 1978,Oregon State University,2585,Corey Benjamin,Oregon State University,1978,Compton,California
Anthony Bennett,2014,2017,F,203,111,March 14, 1993,University of Nevada, Las Vegas,3611,Anthony Bennett,University of Nevada, Las Vegas,1993,Toronto,Canada
Elmer Bennett,1995,1997,G,183,77,February 13, 1970,University of Notre Dame,2320,Elmer Bennett,University of Notre Dame,1970,Evanston,Illinois
Mario Bennett,1996,2000,F,198,106,August 1, 1973,Arizona State University,2382,Mario Bennett,Arizona State University,1973,Denton,Texas
Mel Bennett,1976,1982,F,201,90,January 4, 1955,University of Pittsburgh,1129,Mel Bennett,University of Pittsburgh,1955,Pittsburgh,Pennsylvania
Spider Bennett,1969,1969,G,6-3,190,August 4, 1943,Winston-Salem State University
Tony Bennett,1993,1995,G,183,79,June 1, 1969,University of Wisconsin-Green Bay,2183,Tony Bennett,University of Wisconsin-Green Bay,1969,Green Bay,Wisconsin
Winston Bennett,1990,1992,F,201,95,February 9, 1965,University of Kentucky,1972,Winston Bennett,University of Kentucky,1965,Louisville,Kentucky
David Benoit,1992,2001,F,203,99,May 9, 1968,University of Alabama,2126,David Benoit,University of Alabama,1968,Lafayette,Louisiana
Keith Benson,2012,2012,C,208,106,August 13, 1988,Oakland University,3454,Keith Benson,Indiana University,1954,New Castle,Indiana
Kent Benson,1978,1988,C,208,106,December 27, 1954,Indiana University,1232,Kent Benson,Indiana University,1954,New Castle,Indiana
Ben Bentil,2017,2017,F,206,106,March 29, 1995,Providence College,3839,Ben Bentil,Providence College,1995,Ghana,
Gene Berce,1950,1950,G-F,180,79,November 22, 1926,Marquette University,5,Gene Berce,Marquette University,1926,,
Gary Bergen,1957,1957,C,203,95,July 16, 1932,University of Utah,421,Gary Bergen,University of Utah,1932,Independence,Missouri
Larry Bergh,1970,1970,F,6-8,210,April 2, 1945,Weber State University
Ricky Berry,1989,1989,F,203,92,October 6, 1964,San Jose State University,1893,Ricky Berry,San Jose State University,1964,Lansing,Michigan
Walter Berry,1987,1989,F,203,97,May 14, 1964,St. John's University,1772,Walter Berry,St. John's University,1964,New York,New York
Davis Bertans,2017,2018,F,208,95,November 12, 1992,,3840,Davis Bertans,,1992,Valmiera,Latvia
Del Beshore,1979,1980,G,180,74,November 29, 1956,California University of Pennslyvania,1288,Del Beshore,California University of Pennslyvania,1956,Mechanicsburg,Pennsylvania
Travis Best,1996,2005,G,180,82,July 12, 1972,Georgia Institute of Technology,2383,Travis Best,Georgia Institute of Technology,1972,Springfield,Massachusetts
Patrick Beverley,2013,2018,G,185,83,July 12, 1988,University of Arkansas,3538,Patrick Beverley,University of Arkansas,1988,Chicago,Illinois
Sim Bhullar,2015,2015,C,226,163,December 2, 1992,New Mexico State University,3686,Sim Bhullar,New Mexico State University,1992,Ontario,Canada
Wesley Bialosuknia,1968,1968,G,6-2,185,June 8, 1945,University of Connecticut
Al Bianchi,1957,1966,G,190,83,March 26, 1932,Bowling Green State University,422,Al Bianchi,Bowling Green State University,1932,Long Island City,New York
Hank Biasatti,1947,1947,G,5-11,175,January 14, 1922,Long Island University
Henry Bibby,1973,1981,G,185,83,November 24, 1949,University of California, Los Angeles,932,Henry Bibby,University of California, Los Angeles,1949,Franklinton,North Carolina
Mike Bibby,1999,2012,G,185,86,May 13, 1978,University of Arizona,2586,Mike Bibby,University of Arizona,1978,Cherry Hill,New Jersey
Ed Biedenbach,1969,1969,G,185,79,August 12, 1945,North Carolina State University,750,Ed Biedenbach,North Carolina State University,1945,,
Andris Biedrins,2005,2014,C,211,108,April 2, 1986,,2979,Andris Biedrins,,1986,Riga,Latvia
Don Bielke,1956,1956,C,201,108,,Valparaiso University,391,Don Bielke,Valparaiso University,1931,,
Bob Bigelow,1976,1979,F-G,201,97,December 26, 1953,University of Pennsylvania,1074,Bob Bigelow,University of Pennsylvania,1953,Boston,Massachusetts
Lionel Billingy,1975,1975,F-C,6-9,215,August 31, 1952,Duquesne University
Chauncey Billups,1998,2014,G,190,91,September 25, 1976,University of Colorado,2523,Chauncey Billups,University of Colorado,1976,Denver,Colorado
Dave Bing,1967,1978,G,6-3,180,November 24, 1943,Syracuse University
Joe Binion,1987,1987,F,203,106,March 26, 1961,North Carolina Agricultural and Technical State University,1773,Joe Binion,North Carolina Agricultural and Technical State University,1961,Rochester,New York
Khem Birch,2018,2018,C-F,6-9,220,September 28, 1992,University of Nevada, Las Vegas
Jabari Bird,2018,2018,G,6-6,197,July 3, 1994,University of California
Jerry Bird,1959,1959,F,198,95,February 2, 1935,University of Kentucky,466,Jerry Bird,University of Kentucky,1935,Corbin,Kentucky
Larry Bird,1980,1992,F,6-9,220,December 7, 1956,Indiana State University
Otis Birdsong,1978,1989,G,190,86,December 9, 1955,University of Houston,1233,Otis Birdsong,University of Houston,1955,Winter Haven,Florida
Gale Bishop,1949,1949,F,6-3,195,June 4, 1922,Washington State University
Bismack Biyombo,2012,2018,C-F,206,115,August 28, 1992,,3455,Bismack Biyombo,,1992,Lubumbashi,Democratic Republic of the Congo
Nemanja Bjelica,2016,2018,F,208,108,May 9, 1988,,3765,Nemanja Bjelica,,1988,Belgrade,Serbia
Uwe Blab,1986,1990,C,216,114,March 26, 1962,Indiana University,1710,Uwe Blab,Indiana University,1962,Munich,Germany
Charlie Black,1949,1952,F-C,196,90,June 15, 1921,University of Kansas,6,Charlie Black,University of Kansas,1921,Arco,Idaho
Norman Black,1981,1981,G,196,83,November 12, 1957,Saint Joseph's University,1392,Norman Black,Saint Joseph's University,1957,Baltimore,Maryland
Tarik Black,2015,2018,C-F,206,113,November 22, 1991,University of Kansas,3687,Tarik Black,University of Kansas,1991,Memphis,Tennessee
Tom Black,1971,1971,C,208,99,July 9, 1941,South Dakota State University,827,Tom Black,South Dakota State University,1941,,
Rolando Blackman,1982,1994,G,198,86,February 26, 1959,Kansas State University,1472,Rolando Blackman,Kansas State University,1959,Panama City,Panama
Alex Blackwell,1993,1993,F,198,113,June 27, 1970,Monmouth University,2184,Alex Blackwell,Monmouth University,1970,Toms River,New Jersey
Cory Blackwell,1985,1985,F,198,95,March 27, 1963,University of Wisconsin,1652,Cory Blackwell,University of Wisconsin,1963,Chicago,Illinois
James Blackwell,1995,1995,G,183,86,February 25, 1968,Dartmouth College,2321,James Blackwell,Dartmouth College,1968,Mount Kisco,New York
Nate Blackwell,1988,1988,G,193,77,February 15, 1965,Temple University,1836,Nate Blackwell,Temple University,1965,Philadelphia,Pennsylvania
DeJuan Blair,2010,2016,F-C,201,122,April 22, 1989,University of Pittsburgh,3333,DeJuan Blair,University of Pittsburgh,1989,Pittsburgh,Pennsylvania
Steve Blake,2004,2016,G,190,78,February 26, 1980,University of Maryland,2913,Steve Blake,University of Maryland,1980,Hollywood,Florida
Antonio Blakeney,2018,2018,G,6-4,197,October 4, 1996,Louisiana State University
Will Blalock,2007,2007,G,183,92,September 8, 1983,Iowa State University,3136,Will Blalock,Iowa State University,1983,Boston,Massachusetts
George Blaney,1962,1962,G,185,79,November 12, 1939,College of the Holy Cross,531,George Blaney,College of the Holy Cross,1939,Jersey City,New Jersey
Lance Blanks,1991,1993,G,193,86,September 9, 1966,University of Texas at Austin,2052,Lance Blanks,University of Texas at Austin,1966,Del Rio,Texas
Ricky Blanton,1993,1993,F,201,97,April 21, 1966,Louisiana State University,2185,Ricky Blanton,Louisiana State University,1966,Miami,Florida
Andray Blatche,2006,2014,F,211,106,August 22, 1986,,3049,Andray Blatche,,1986,Syracuse,New York
Mookie Blaylock,1990,2002,G,183,81,March 20, 1967,University of Oklahoma,1973,Mookie Blaylock,University of Oklahoma,1967,Garland,Texas
Eric Bledsoe,2011,2018,G,185,86,December 9, 1989,University of Kentucky,3392,Eric Bledsoe,University of Kentucky,1989,Birmingham,Alabama
Leon Blevins,1951,1951,G,188,72,June 25, 1926,University of Arizona,226,Leon Blevins,University of Arizona,1926,,
John Block,1967,1976,F-C,206,93,April 16, 1944,University of Southern California,675,John Block,University of Southern California,1944,Los Angeles,California
Mike Bloom,1948,1949,F-C,6-6,190,January 14, 1915,Temple University
Corie Blount,1994,2004,F,206,108,January 4, 1969,University of Cincinnati,2247,Corie Blount,University of Cincinnati,1969,Monrovia,California
Mark Blount,2001,2009,C,213,104,November 30, 1975,University of Pittsburgh,2712,Mark Blount,University of Pittsburgh,1975,Dobbs Ferry,New York
